timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/20 12:23:32.687, P2, 1905, 7601, 82.46, 230.00, 40, 0, 0, 3590, 3, 16, Not Active, Not Active, Not Active
2026/07/20 12:23:33.692, P2, 1695, 7601, 79.04, 230.00, 39, 0, 0, 3590, 3, 16, Not Active, Not Active, Not Active
2026/07/20 12:23:34.693, P2, 1575, 7601, 229.36, 230.00, 46, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:35.694, P2, 1575, 7601, 230.24, 230.00, 48, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:36.695, P2, 1575, 7601, 231.41, 230.00, 48, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:37.695, P2, 1560, 7601, 229.06, 230.00, 49, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:38.696, P2, 1575, 7601, 232.02, 230.00, 50, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:39.697, P2, 1575, 7601, 229.24, 230.00, 51, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:40.698, P2, 1575, 7601, 229.07, 230.00, 52, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:41.699, P2, 1575, 7601, 230.44, 230.00, 52, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:42.699, P2, 1575, 7601, 230.48, 230.00, 53, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:43.700, P2, 1575, 7601, 230.09, 230.00, 54, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:44.701, P2, 1575, 7601, 231.19, 230.00, 54, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
2026/07/20 12:23:45.702, P2, 1560, 7601, 228.76, 230.00, 55, 94, 75, 3590, 3, 16, Active, Not Active, Not Active
