timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/21 02:35:11.291, P2, 1695, 7601, 93.28, 230.00, 74, 4, 0, 19156, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:35:12.296, P2, 1695, 7601, 89.67, 230.00, 73, 4, 0, 19156, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:35:13.297, P2, 1545, 7601, 193.85, 230.00, 78, 73, 57, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:14.298, P2, 1770, 7601, 201.13, 230.00, 78, 99, 72, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:15.298, P2, 1740, 7601, 213.81, 230.00, 78, 82, 66, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:16.300, P2, 1755, 7601, 217.97, 230.00, 78, 81, 69, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:17.301, P2, 1785, 7601, 217.09, 230.00, 79, 81, 69, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:18.302, P2, 1710, 7601, 214.47, 230.00, 78, 81, 67, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:19.302, P2, 1740, 7601, 209.27, 230.00, 78, 75, 62, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:20.303, P2, 1740, 7601, 203.52, 230.00, 79, 70, 60, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:21.304, P2, 1725, 7601, 193.23, 230.00, 78, 67, 56, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:22.305, P2, 1725, 7601, 215.62, 230.00, 78, 77, 66, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:23.306, P2, 1800, 7601, 213.15, 230.00, 79, 81, 68, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:24.307, P2, 1755, 7601, 218.13, 230.00, 78, 80, 67, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:25.307, P2, 1710, 7601, 206.30, 230.00, 78, 74, 63, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:26.308, P2, 1710, 7601, 207.08, 230.00, 78, 78, 66, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:27.309, P2, 1740, 7601, 208.38, 230.00, 78, 74, 63, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:28.310, P2, 1725, 7601, 215.44, 230.00, 79, 81, 67, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:29.311, P2, 1785, 7601, 205.01, 230.00, 79, 73, 61, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:30.312, P2, 1710, 7601, 206.91, 230.00, 78, 77, 65, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:31.313, P2, 1710, 7601, 217.61, 230.00, 78, 79, 68, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:32.314, P2, 1800, 7601, 216.90, 230.00, 79, 80, 69, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:33.315, P2, 1725, 7601, 217.06, 230.00, 79, 80, 69, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:34.316, P2, 1710, 7601, 205.58, 230.00, 79, 74, 62, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:35.317, P2, 1725, 7601, 213.79, 230.00, 79, 81, 69, 19156, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:36.318, P2, 1665, 7601, 222.56, 230.00, 79, 79, 78, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:37.318, P2, 1680, 7601, 216.48, 230.00, 78, 79, 77, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:38.319, P2, 1485, 7601, 228.85, 230.00, 79, 100, 47, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:39.320, P2, 1500, 7601, 228.01, 230.00, 79, 99, 56, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:40.322, P2, 1680, 7601, 210.88, 230.00, 79, 76, 73, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:41.323, P2, 1680, 7601, 218.24, 230.00, 79, 80, 78, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:42.324, P2, 1695, 7601, 214.07, 230.00, 79, 79, 77, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:43.325, P2, 1665, 7601, 212.46, 230.00, 79, 77, 75, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:44.326, P2, 1680, 7601, 214.64, 230.00, 78, 77, 75, 19154, 3, 16, Active, Not Active, Not Active
2026/07/21 02:35:45.327, P2, 1620, 7601, 215.13, 230.00, 79, 78, 76, 19154, 3, 16, Active, Not Active, Not Active
