timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/21 02:58:57.713, P2, 1860, 7601, 113.28, 230.00, 75, 3, 0, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:58:58.718, P2, 1695, 7601, 89.62, 230.00, 73, 4, 0, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:58:59.720, P2, 1845, 7601, 213.38, 230.00, 77, 91, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:00.720, P2, 1860, 7601, 219.94, 230.00, 78, 92, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:01.721, P2, 1860, 7601, 219.64, 230.00, 79, 85, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:02.722, P2, 1860, 7601, 220.03, 230.00, 79, 90, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:03.723, P2, 1860, 7601, 222.03, 230.00, 79, 91, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:04.725, P2, 1860, 7601, 222.13, 230.00, 79, 92, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:05.726, P2, 1860, 7601, 223.27, 230.00, 79, 91, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:06.727, P2, 1860, 7601, 222.95, 230.00, 79, 91, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:07.727, P2, 1860, 7601, 219.31, 230.00, 79, 91, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:08.728, P2, 1860, 7601, 220.37, 230.00, 79, 87, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:09.729, P2, 1860, 7601, 222.92, 230.00, 80, 92, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:10.730, P2, 1860, 7601, 222.12, 230.00, 80, 91, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:11.731, P2, 1860, 7601, 221.55, 230.00, 80, 91, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:12.732, P2, 1860, 7601, 222.60, 230.00, 80, 92, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:13.732, P2, 1860, 7601, 224.01, 230.00, 80, 92, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:14.733, P2, 1860, 7601, 225.70, 230.00, 80, 91, 52, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:15.734, P2, 1845, 7601, 218.15, 230.00, 80, 91, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:16.735, P2, 1860, 7601, 221.37, 230.00, 80, 90, 49, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:17.736, P2, 1860, 7601, 222.62, 230.00, 80, 92, 51, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:18.737, P2, 1860, 7601, 212.72, 230.00, 80, 48, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:19.737, P2, 1860, 7601, 214.05, 230.00, 80, 49, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:20.738, P2, 1860, 7601, 212.85, 230.00, 80, 49, 50, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:21.739, P2, 1860, 7601, 213.87, 230.00, 80, 49, 50, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:22.740, P2, 1860, 7601, 213.59, 230.00, 80, 49, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:23.740, P2, 1860, 7601, 211.05, 230.00, 80, 48, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:24.741, P2, 1860, 7601, 212.01, 230.00, 80, 48, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:25.742, P2, 1860, 7601, 211.76, 230.00, 80, 48, 49, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:26.743, P2, 1860, 7601, 212.21, 230.00, 80, 48, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:27.745, P2, 1860, 7601, 210.85, 230.00, 80, 48, 49, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:28.746, P2, 1860, 7601, 213.67, 230.00, 80, 49, 50, 21282, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:29.747, P2, 1860, 7601, 213.58, 230.00, 80, 49, 50, 21282, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:30.747, P2, 1860, 7601, 212.33, 230.00, 80, 49, 50, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:31.748, P2, 1860, 7601, 212.19, 230.00, 80, 48, 48, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:32.749, P2, 1860, 7601, 210.85, 230.00, 80, 47, 47, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:33.750, P2, 1860, 7601, 213.64, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:34.750, P2, 1860, 7601, 213.82, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:35.751, P2, 1860, 7601, 214.50, 230.00, 80, 49, 50, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:36.752, P2, 1860, 7601, 214.94, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:37.753, P2, 1860, 7601, 213.57, 230.00, 80, 49, 50, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:38.754, P2, 1860, 7601, 216.12, 230.00, 80, 49, 50, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:39.755, P2, 1860, 7601, 211.46, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:40.755, P2, 1860, 7601, 211.77, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:41.756, P2, 1860, 7601, 213.13, 230.00, 80, 49, 49, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:42.757, P2, 1860, 7601, 210.18, 230.00, 80, 47, 48, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:43.758, P2, 1860, 7601, 212.99, 230.00, 80, 49, 50, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:44.759, P2, 1860, 7601, 213.37, 230.00, 80, 49, 50, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:45.759, P2, 1860, 7601, 214.96, 230.00, 80, 49, 50, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:46.760, P2, 1860, 7601, 198.88, 230.00, 80, 40, 41, 21314, 3, 16, Active, Not Active, Not Active
2026/07/21 02:59:47.761, P2, 1860, 7601, 211.19, 230.00, 80, 46, 47, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:48.763, P2, 1860, 7601, 212.52, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:49.764, P2, 1860, 7601, 212.94, 230.00, 80, 49, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:50.764, P2, 1860, 7601, 211.94, 230.00, 80, 48, 49, 21314, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:59:51.765, P2, 1860, 7601, 214.17, 230.00, 80, 49, 50, 21314, 3, 16, Not Active, Not Active, Not Active
