timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/21 02:52:06.601, P2, 1845, 7601, 115.35, 230.00, 77, 0, 0, 22702, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:52:07.606, P2, 1695, 7601, 112.82, 230.00, 75, 0, 0, 22702, 3, 16, Not Active, Not Active, Not Active
2026/07/21 02:52:08.607, P2, 1425, 7601, 227.67, 230.00, 79, 97, 34, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:09.608, P2, 1620, 7601, 234.21, 230.00, 80, 90, 88, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:10.609, P2, 1590, 7601, 231.81, 230.00, 80, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:11.610, P2, 1590, 7601, 229.88, 230.00, 80, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:12.611, P2, 1575, 7601, 229.08, 230.00, 80, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:13.612, P2, 1560, 7601, 227.61, 230.00, 80, 91, 92, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:14.613, P2, 1410, 7601, 233.49, 230.00, 81, 100, 34, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:15.613, P2, 1605, 7601, 234.47, 230.00, 80, 92, 90, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:16.614, P2, 1605, 7601, 231.67, 230.00, 80, 90, 90, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:17.615, P2, 1575, 7601, 229.28, 230.00, 80, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:18.616, P2, 1560, 7601, 227.74, 230.00, 80, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:19.617, P2, 1560, 7601, 227.92, 230.00, 80, 91, 92, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:20.618, P2, 1410, 7601, 229.50, 230.00, 81, 97, 35, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:21.619, P2, 1605, 7601, 233.28, 230.00, 81, 92, 90, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:22.620, P2, 1590, 7601, 231.87, 230.00, 81, 90, 90, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:23.622, P2, 1575, 7601, 230.86, 230.00, 81, 92, 92, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:24.623, P2, 1575, 7601, 231.52, 230.00, 81, 92, 92, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:25.624, P2, 1575, 7601, 230.41, 230.00, 81, 92, 93, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:26.625, P2, 1410, 7601, 227.70, 230.00, 81, 97, 34, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:27.626, P2, 1605, 7601, 231.34, 230.00, 81, 90, 89, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:28.626, P2, 1590, 7601, 232.90, 230.00, 81, 91, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:29.627, P2, 1575, 7601, 232.70, 230.00, 81, 92, 91, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:30.628, P2, 1575, 7601, 231.91, 230.00, 81, 92, 92, 22702, 3, 16, Active, Not Active, Not Active
2026/07/21 02:52:31.629, P2, 1395, 7601, 243.36, 230.00, 81, 93, 75, 22702, 3, 16, Active, Not Active, Not Active
