timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/20 20:21:38.036, P2, 1695, 7601, 103.29, 230.00, 70, 0, 0, 14300, 3, 16, Not Active, Not Active, Not Active
2026/07/20 20:21:39.041, P2, 1695, 7601, 84.29, 230.00, 69, 0, 0, 14300, 3, 16, Not Active, Not Active, Not Active
2026/07/20 20:21:40.041, P2, 1485, 7601, 228.01, 230.00, 74, 90, 35, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:41.042, P2, 1485, 7601, 242.31, 230.00, 75, 99, 39, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:42.043, P2, 1830, 7601, 195.68, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:43.043, P2, 1800, 7601, 194.19, 230.00, 74, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:44.044, P2, 1830, 7601, 188.88, 230.00, 74, 48, 31, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:45.045, P2, 1725, 7601, 192.12, 230.00, 74, 49, 31, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:46.046, P2, 1770, 7601, 190.37, 230.00, 75, 49, 31, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:47.046, P2, 1815, 7601, 189.35, 230.00, 75, 49, 31, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:48.047, P2, 1845, 7601, 189.77, 230.00, 74, 50, 32, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:49.048, P2, 1845, 7601, 196.74, 230.00, 74, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:50.048, P2, 1590, 7601, 209.78, 230.00, 76, 78, 42, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:51.049, P2, 1485, 7601, 241.96, 230.00, 76, 100, 41, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:52.050, P2, 1830, 7601, 184.97, 230.00, 75, 48, 29, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:53.051, P2, 1845, 7601, 191.29, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:54.052, P2, 1845, 7601, 194.19, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:55.052, P2, 1815, 7601, 198.14, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:56.053, P2, 1800, 7601, 197.60, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:57.054, P2, 1800, 7601, 197.21, 230.00, 75, 52, 33, 14300, 3, 16, Active, Not Active, Not Active
2026/07/20 20:21:58.055, P2, 1725, 7601, 194.82, 230.00, 75, 48, 30, 14300, 3, 16, Active, Not Active, Not Active
