timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/21 01:42:35.815, P2, 1695, 7601, 112.51, 230.00, 73, 3, 0, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:36.820, P2, 1695, 7601, 87.90, 230.00, 71, 4, 0, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:37.821, P2, 1695, 7601, 87.10, 230.00, 71, 14, 0, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:38.822, P2, 1575, 7601, 218.29, 230.00, 75, 86, 33, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:39.822, P2, 1875, 7601, 214.23, 230.00, 76, 62, 31, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:40.823, P2, 1860, 7601, 211.74, 230.00, 77, 59, 32, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:41.824, P2, 1860, 7601, 222.63, 230.00, 77, 64, 34, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:42.825, P2, 1845, 7601, 210.67, 230.00, 77, 66, 36, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:43.825, P2, 1845, 7601, 217.88, 230.00, 77, 63, 34, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:44.826, P2, 1845, 7601, 215.74, 230.00, 77, 68, 37, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:45.827, P2, 1575, 7601, 226.23, 230.00, 77, 100, 35, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:46.828, P2, 1860, 7601, 220.10, 230.00, 78, 61, 33, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:47.828, P2, 1860, 7601, 227.12, 230.00, 77, 65, 35, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:48.829, P2, 1860, 7601, 218.84, 230.00, 78, 61, 33, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:49.830, P2, 1860, 7601, 212.41, 230.00, 78, 63, 34, 12218, 3, 16, Not Active, Not Active, Not Active
2026/07/21 01:42:50.831, P2, 1845, 7601, 207.79, 230.00, 78, 65, 34, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:51.831, P2, 1845, 7601, 111.87, 230.00, 74, 15, 0, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:52.832, P2, 1575, 7601, 225.32, 230.00, 77, 100, 36, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:53.833, P2, 1845, 7601, 221.00, 230.00, 77, 65, 35, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:54.833, P2, 1845, 7601, 221.78, 230.00, 78, 66, 35, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:55.834, P2, 1845, 7601, 220.71, 230.00, 78, 63, 34, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:56.835, P2, 1845, 7601, 218.81, 230.00, 78, 62, 34, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:57.835, P2, 1845, 7601, 212.14, 230.00, 78, 66, 36, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:58.836, P2, 1845, 7601, 215.81, 230.00, 78, 68, 37, 12218, 3, 16, Active, Not Active, Not Active
2026/07/21 01:42:59.837, P2, 1860, 7601, 113.19, 230.00, 73, 14, 0, 12218, 3, 16, Not Active, Not Active, Not Active
