timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/20 15:18:23.982, P2, 1860, 7601, 111.28, 230.00, 74, 0, 0, 3700, 3, 16, Not Active, Not Active, Not Active
2026/07/20 15:18:24.987, P2, 1695, 7601, 106.31, 230.00, 72, 0, 0, 3700, 3, 16, Not Active, Not Active, Not Active
2026/07/20 15:18:25.988, P2, 1515, 7601, 227.95, 230.00, 76, 90, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:26.989, P2, 1515, 7601, 229.15, 230.00, 77, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:27.990, P2, 1470, 7601, 198.14, 230.00, 77, 63, 32, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:28.990, P2, 1500, 7601, 229.64, 230.00, 77, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:29.991, P2, 1500, 7601, 229.79, 230.00, 77, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:30.992, P2, 1515, 7601, 229.97, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:31.993, P2, 1515, 7601, 227.82, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:32.994, P2, 1710, 7601, 232.35, 230.00, 77, 84, 32, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:33.994, P2, 1515, 7601, 225.07, 230.00, 78, 89, 64, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:34.995, P2, 1515, 7601, 226.34, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:35.996, P2, 1515, 7601, 229.32, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:36.997, P2, 1515, 7601, 229.63, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:37.998, P2, 1515, 7601, 228.46, 230.00, 78, 93, 44, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:38.998, P2, 1515, 7601, 229.74, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:39.999, P2, 1515, 7601, 228.37, 230.00, 78, 90, 65, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:41.000, P2, 1500, 7601, 230.81, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:42.001, P2, 1500, 7601, 228.02, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:43.003, P2, 1515, 7601, 219.28, 230.00, 78, 88, 48, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:44.004, P2, 1500, 7601, 228.48, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:45.004, P2, 1500, 7601, 228.52, 230.00, 78, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:46.005, P2, 1515, 7601, 228.49, 230.00, 78, 89, 65, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:47.006, P2, 1515, 7601, 228.52, 230.00, 78, 92, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:48.007, P2, 1515, 7601, 217.77, 230.00, 79, 84, 57, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:49.008, P2, 1500, 7601, 225.29, 230.00, 79, 90, 65, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:50.008, P2, 1500, 7601, 228.71, 230.00, 79, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:51.009, P2, 1500, 7601, 228.83, 230.00, 79, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:52.010, P2, 1500, 7601, 229.15, 230.00, 79, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:53.011, P2, 1515, 7601, 225.83, 230.00, 79, 85, 61, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:54.012, P2, 1500, 7601, 229.04, 230.00, 79, 91, 66, 3700, 3, 16, Active, Not Active, Not Active
2026/07/20 15:18:55.012, P2, 1500, 7601, 229.73, 230.00, 79, 90, 65, 3700, 3, 16, Active, Not Active, Not Active
