timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/20 15:53:05.798, P2, 1695, 7601, 102.47, 230.00, 70, 0, 0, 6942, 3, 16, Not Active, Not Active, Not Active
2026/07/20 15:53:06.803, P2, 1695, 7601, 83.13, 230.00, 69, 0, 0, 6942, 3, 16, Not Active, Not Active, Not Active
2026/07/20 15:53:07.803, P2, 1485, 7601, 224.94, 230.00, 74, 99, 41, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:08.804, P2, 1680, 7601, 215.85, 230.00, 75, 98, 46, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:09.805, P2, 1800, 7601, 194.24, 230.00, 75, 48, 30, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:10.806, P2, 1830, 7601, 197.63, 230.00, 74, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:11.806, P2, 1830, 7601, 199.13, 230.00, 74, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:12.807, P2, 1830, 7601, 197.93, 230.00, 74, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:13.808, P2, 1830, 7601, 198.99, 230.00, 74, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:14.809, P2, 1830, 7601, 201.00, 230.00, 75, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:15.809, P2, 1830, 7601, 201.06, 230.00, 74, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:16.810, P2, 1845, 7601, 182.62, 230.00, 75, 46, 29, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:17.811, P2, 1830, 7601, 184.74, 230.00, 74, 46, 29, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:18.812, P2, 1485, 7601, 223.26, 230.00, 76, 99, 39, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:19.813, P2, 1800, 7601, 184.44, 230.00, 75, 69, 35, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:20.813, P2, 1830, 7601, 198.78, 230.00, 75, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:21.814, P2, 1830, 7601, 204.22, 230.00, 75, 53, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:22.815, P2, 1785, 7601, 193.92, 230.00, 75, 52, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:23.816, P2, 1710, 7601, 196.97, 230.00, 75, 50, 32, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:24.816, P2, 1830, 7601, 194.45, 230.00, 75, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:25.817, P2, 1725, 7601, 173.35, 230.00, 76, 38, 24, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:26.818, P2, 1755, 7601, 193.71, 230.00, 75, 53, 33, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:27.819, P2, 1830, 7601, 199.66, 230.00, 76, 42, 27, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:28.819, P2, 1725, 7601, 195.79, 230.00, 76, 49, 31, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:29.820, P2, 1470, 7601, 228.96, 230.00, 76, 90, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:30.821, P2, 1470, 7601, 212.35, 230.00, 76, 83, 33, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:31.822, P2, 1710, 7601, 168.82, 230.00, 76, 36, 23, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:32.823, P2, 1815, 7601, 204.27, 230.00, 76, 53, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:33.824, P2, 1710, 7601, 195.17, 230.00, 76, 48, 30, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:34.824, P2, 1830, 7601, 186.99, 230.00, 76, 47, 30, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:35.825, P2, 1845, 7601, 184.45, 230.00, 76, 46, 29, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:36.826, P2, 1815, 7601, 203.63, 230.00, 76, 54, 34, 6942, 3, 16, Active, Not Active, Not Active
2026/07/20 15:53:37.827, P2, 1725, 7601, 167.09, 230.00, 76, 41, 26, 6942, 3, 16, Active, Not Active, Not Active
